animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,rodentsize,leopardsize,,,
b'aardvark',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'false',b'false',b'true',,,
b'antelope',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'true',b'false',b'false',,,
b'bass',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'bear',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'false',b'false',b'false',b'false',b'true',,,
b'boar',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'buffalo',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'dog',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'true',b'false',b'false',,,
b'carp',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0,b'true',b'true',b'true',b'false',b'false',,,
b'clownfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'guinea pig',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'false',b'true',b'false',b'true',b'false',,,
b'cheetah',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'chicken',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'true',b'true',b'false',b'false',,,
b'chub',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'false',b'false',,,
b'clam',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',0,b'false',b'false',b'false',b'true',b'false',,,
b'crab',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'crayfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',,,
b'crow',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'deer',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'dogfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'true',b'false',b'false',,,
b'dolphin',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0,b'true',b'false',b'true',b'false',b'true',,,
b'dove',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'true',b'false',b'false',b'false',,,
b'duck',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'elephant',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'flamingo',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'true',,,
b'flea',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'true',b'false',b'true',,
b'frog',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'frog',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'true',b'false',4,b'false',b'false',b'false',b'true',b'false',,,
b'fruitbat',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'true',b'false',,,
b'giraffe',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'false',b'true',,,
b'human',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',2,b'false',b'true',b'false',b'false',b'true',,,
b'gnat',b'false',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6,b'false',b'false',b'false',b'false',b'false',,,
b'goat',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'true',b'false',b'false',,,
b'gorilla',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2,b'false',b'false',b'false',b'false',b'true',,,
b'seagull',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'true',b'false',b'false',,,
b'saltwater fish',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0,b'true',b'false',b'false',b'true',b'false',,,
b'hamster',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'true',b'false',b'true',b'false',,,
b'hare',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4,b'true',b'false',b'false',b'true',b'false',,,
b'hawk',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2,b'true',b'false',b'false',b'false',b'true',,,
